"title","keywords","link"
"Sweden daily river discharge","Flux, discharge","http://vattenwebb.smhi.se/station/"
"E-Hype - Subbasins","Delineation, catchment","https://switchon%2Esvn%40gmail%2Ecom:gzrkbc9kf@repos.deltares.nl/repos/SWITCH-ON/Data/WP3/Level%20A%20Pan%20Europe/Subbasins/Subbasin(EHYPE2pt5).zip"
"WGMS V.2014","Land cover ; delineation ; level, ice","http://www.wgms.ch/database/FoG-DB-Version_2014-09.zip"
"WGMS V.2013","Land cover ; delineation ; level, ice","http://www.wgms.ch/database/FoG-DB-Version_2013-11.zip"
"WGMS V.2012","Land cover ; delineation ; level, ice","http://www.wgms.ch/database/FoG-DB-Version_2012-11.zip"
"WGMS V.2008","Land cover ; delineation ; level, ice","http://www.wgms.ch/database/FoG-DB-Version_2008-12.zip"
"GlobCover 2009","Land management ; Land cover","http://due.esrin.esa.int/files/Globcover2009_V2.3_Global_.zip"
"GlobCover 2005-2006","Land management ; Land cover","http://due.esrin.esa.int/files/Globcover_V2.2_Global.zip"
"DSMW ESRI Grid","Soil","http://www.fao.org/geonetwork/srv/en/resources.get?id=14187&fname=cc_s.zip&access=private"
"Hydrosheds (15 arcsec)","Delineation, catchment","http://earlywarning.usgs.gov/hydrodata/sa_15s_zip_grid/eu_acc_15s_grid.zip"
"Corine Land Cover 1990 raster data 100m","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-1990-raster-3/clc-1990-v13-100m/g100_90.zip/download"
"Corine Land Cover 1990 raster data 250m","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-1990-raster-3/clc-1990-v13-250m/g250_90.zip/download"
"Corine Land Cover 2006 raster data 100m","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2006-raster-3/clc-2006-100m/g100_06.zip/download"
"Corine Land Cover 2006 raster data 250m","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2006-raster-3/clc-2006-v13-250m/g250_06.zip/download"
"Corine Land Cover 1990 - 2000 changes formation code in changed areas (change 1990-2000) in 100m resolution","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2/corine-land-cover-changes-clc1990/g100_ch90_00.zip/download"
"Corine Land Cover 1990 - 2000 changes vector data shapefile","Land cover","http://ftp.eea.europa.eu/www/corine_land_cover/v17/cha90_00_shp.zip"
"Corine Land Cover 1990 - 2000 changes consumption code in changed areas (change 1990-2000) in 100m resolution","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-2/consumption-code-in-changed-areas/g100_ch00_90.zip/download"
"Corine Land Cover 2000 - 2006 changes formation code in changed areas (change 2000-2006) in 100m resolution","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-3/corine-land-cover-changes-raster-100m/g100_ch00_06.zip/download"
"Corine Land Cover 2000 - 2006 changes consumption code in changed areas (change 2000-2006) in 100m resolution","Land cover","http://www.eea.europa.eu/data-and-maps/data/corine-land-cover-3/consumption-code-in-changed-areas/g100_ch06_00.zip/download"
"Corine Land Cover 2000 - 2006 changes vector data spatialite","Land cover","http://ftp.eea.europa.eu/www/corine_land_cover/v17/cha00_06_spatialite.zip"
"Corine Land Cover 2000 - 2006 changes vector data shapefile","Land cover","http://ftp.eea.europa.eu/www/corine_land_cover/v17/cha00_06_shp.zip"
"World Carbonate Rocks","Geology","http://web.env.auckland.ac.nz/our_research/karst/"
"World Carbonate Outcrop Areas xls","Geology","http://web.env.auckland.ac.nz/our_research/karst/world_carbonate_areas_2010.xls"
"worldmap_WGS1984","Geology","http://web.env.auckland.ac.nz/our_research/karst/worldmap.zip"
"africa_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/africa_map.zip"
"asia_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/asia_map.zip"
"australasia_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/australasia_map.zip"
"europe_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/europe_map.zip"
"northamerica_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/northamerica_map.zip"
"southamerica_map.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/southamerica_map.zip"
"africa_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/africa_originalshp.zip"
"asia_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/asia_originalshp.zip"
"australasia_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/australasia_originalshp.zip"
"europe_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/europe_originalshp.zip"
"northamerica_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/northamerica_originalshp.zip"
"southamerica_originalshp.zip","Geology","http://web.env.auckland.ac.nz/our_research/karst/southamerica_originalshp.zip"
"ESACCI-LC-L4-LCCS-Map-300m-P5Y-2000-v1.3","Level, surface ; Land cover","ftp://geo10.elie.ucl.ac.be/CCI/ESACCI-LC-L4-LCCS-Map-300m-P5Y-2000-v1.3.tif.7z"
"ESACCI-LC-L4-LCCS-Map-300m-P5Y-2005-v1.3","Level, surface ; Land cover","ftp://geo10.elie.ucl.ac.be/CCI/ESACCI-LC-L4-LCCS-Map-300m-P5Y-2005-v1.3.tif.7z"
"ESACCI-LC-L4-LCCS-Map-300m-P5Y-2010-v1.4","Level, surface ; Land cover","ftp://geo10.elie.ucl.ac.be/CCI/ESACCI-LC-L4-LCCS-Map-300m-P5Y-2010-v1.4.tif.7z"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F101992","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F101992.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F101993","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F101993.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F101994","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F101994.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121994","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121994.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121995","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121995.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121996","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121996.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121997","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121997.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121998","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121998.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F121999","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F121999.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F141997","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F141997.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F141998","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F141998.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F141999","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F141999.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F142000","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F142000.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F142001","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F142001.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F142002","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F142002.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F142003","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F142003.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F152000","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F152000.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F152001","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F152001.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F152002","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F152002.v4.tar"
"Version 4 DMSP-OLS Nighttime Lights Time Series- Average Visible, Stable Lights, & Cloud Free Coverages F152003","Land management","http://ngdc.noaa.gov/eog/data/web_data/v4composites/F152003.v4.tar"
